ENSG00000000457.14	ENSG00000000457	SCYL3	1	-	169849631	169894266	169349631	170394266	0	protein_coding	ENSG00000000457_SCYL3
ENSG00000001084.13	ENSG00000001084	GCLC	6	-	53497341	53616969	52997341	54116969	0	protein_coding	ENSG00000001084_GCLC
ENSG00000001461.17	ENSG00000001461	NIPAL3	1	+	24415801	24472976	23915801	24972976	0	protein_coding	ENSG00000001461_NIPAL3
ENSG00000003147.19	ENSG00000003147	ICA1	7	-	8113184	8262686	7613184	8762686	0	protein_coding	ENSG00000003147_ICA1
ENSG00000003393.15	ENSG00000003393	ALS2	2	-	201700267	201780955	201200267	202280955	0	protein_coding	ENSG00000003393_ALS2
ENSG00000004399.12	ENSG00000004399	PLXND1	3	-	129555175	129606817	129055175	130106817	0	protein_coding	ENSG00000004399_PLXND1
ENSG00000004660.15	ENSG00000004660	CAMKK1	17	-	3860315	3894890	3360315	4394890	0	protein_coding	ENSG00000004660_CAMKK1
ENSG00000004766.17	ENSG00000004766	VPS50	7	+	93232339	93361123	92732339	93861123	0	protein_coding	ENSG00000004766_VPS50
ENSG00000004777.18	ENSG00000004777	ARHGAP33	19	+	35774531	35788822	35274531	36288822	0	protein_coding	ENSG00000004777_ARHGAP33
ENSG00000005001.10	ENSG00000005001	PRSS22	16	-	2852730	2858169	2352730	3358169	0	protein_coding	ENSG00000005001_PRSS22
ENSG00000005175.10	ENSG00000005175	RPAP3	12	-	47661249	47706029	47161249	48206029	0	protein_coding	ENSG00000005175_RPAP3
ENSG00000005243.10	ENSG00000005243	COPZ2	17	-	48026167	48038029	47526167	48538029	0	protein_coding	ENSG00000005243_COPZ2
ENSG00000005486.17	ENSG00000005486	RHBDD2	7	+	75842601	75888926	75342601	76388926	0	protein_coding	ENSG00000005486_RHBDD2
ENSG00000005882.12	ENSG00000005882	PDK2	17	+	50094736	50112152	49594736	50612152	0	protein_coding	ENSG00000005882_PDK2
ENSG00000006016.11	ENSG00000006016	CRLF1	19	-	18572220	18607740	18072220	19107740	0	protein_coding	ENSG00000006016_CRLF1
ENSG00000006652.14	ENSG00000006652	IFRD1	7	+	112422967	112481017	111922967	112981017	0	protein_coding	ENSG00000006652_IFRD1
ENSG00000006747.15	ENSG00000006747	SCIN	7	+	12570576	12660182	12070576	13160182	0	protein_coding	ENSG00000006747_SCIN
ENSG00000007255.10	ENSG00000007255	TRAPPC6A	19	-	45162928	45178236	44662928	45678236	0	protein_coding	ENSG00000007255_TRAPPC6A
ENSG00000007264.15	ENSG00000007264	MATK	19	-	3777970	3802128	3277970	4302128	0	protein_coding	ENSG00000007264_MATK
ENSG00000007384.15	ENSG00000007384	RHBDF1	16	-	58059	76354	0	576354	0	protein_coding	ENSG00000007384_RHBDF1
ENSG00000007516.14	ENSG00000007516	BAIAP3	16	+	1333637	1349441	833637	1849441	0	protein_coding	ENSG00000007516_BAIAP3
ENSG00000007541.17	ENSG00000007541	PIGQ	16	+	566994	584109	66994	1084109	0	protein_coding	ENSG00000007541_PIGQ
ENSG00000007545.16	ENSG00000007545	CRAMP1	16	+	1612336	1677908	1112336	2177908	0	protein_coding	ENSG00000007545_CRAMP1
ENSG00000008294.21	ENSG00000008294	SPAG9	17	-	50962174	51120867	50462174	51620867	0	protein_coding	ENSG00000008294_SPAG9
ENSG00000008382.15	ENSG00000008382	MPND	19	+	4343526	4360086	3843526	4860086	0	protein_coding	ENSG00000008382_MPND
ENSG00000008394.13	ENSG00000008394	MGST1	12	+	16347141	16609259	15847141	17109259	0	protein_coding	ENSG00000008394_MGST1
ENSG00000008516.17	ENSG00000008516	MMP25	16	+	3046560	3060726	2546560	3560726	0	protein_coding	ENSG00000008516_MMP25
ENSG00000008517.17	ENSG00000008517	IL32	16	+	3065296	3082192	2565296	3582192	0	protein_coding	ENSG00000008517_IL32
ENSG00000008853.17	ENSG00000008853	RHOBTB2	8	+	22987416	23020199	22487416	23520199	0	protein_coding	ENSG00000008853_RHOBTB2
ENSG00000008952.17	ENSG00000008952	SEC62	3	+	169966634	169998373	169466634	170498373	0	protein_coding	ENSG00000008952_SEC62
ENSG00000009830.11	ENSG00000009830	POMT2	14	-	77274956	77320883	76774956	77820883	0	protein_coding	ENSG00000009830_POMT2
ENSG00000010278.14	ENSG00000010278	CD9	12	+	6199714	6238271	5699714	6738271	0	protein_coding	ENSG00000010278_CD9
ENSG00000010292.13	ENSG00000010292	NCAPD2	12	+	6493355	6531955	5993355	7031955	0	protein_coding	ENSG00000010292_NCAPD2
ENSG00000010327.10	ENSG00000010327	STAB1	3	+	52495337	52524495	51995337	53024495	0	protein_coding	ENSG00000010327_STAB1
ENSG00000010610.10	ENSG00000010610	CD4	12	+	6786857	6820799	6286857	7320799	0	protein_coding	ENSG00000010610_CD4
ENSG00000011028.14	ENSG00000011028	MRC2	17	+	62627669	62693597	62127669	63193597	0	protein_coding	ENSG00000011028_MRC2
ENSG00000011304.20	ENSG00000011304	PTBP1	19	+	797074	812327	297074	1312327	0	protein_coding	ENSG00000011304_PTBP1
ENSG00000011523.14	ENSG00000011523	CEP68	2	+	65056365	65087004	64556365	65587004	0	protein_coding	ENSG00000011523_CEP68
ENSG00000011638.10	ENSG00000011638	TMEM159	16	+	21158376	21180616	20658376	21680616	0	protein_coding	ENSG00000011638_TMEM159
ENSG00000013306.16	ENSG00000013306	SLC25A39	17	-	44319625	44324869	43819625	44824869	0	protein_coding	ENSG00000013306_SLC25A39
